date,hourly_wage,cash_tips,credit_tips,hours_worked,wage_pay,total_income,position,location
2021-02-06,8.65,145.00,19.93,6.80,38.23,188.46,Barback,Daisy's
2021-02-19,8.65,135.00,41.34,6.80,38.23,199.87,Barback,Daisy's
2021-02-21,8.65,93.00,23.60,5.00,28.11,133.90,Barback,Daisy's
2021-02-26,8.65,187.00,26.41,7.00,39.36,237.63,Barback,Daisy's
2021-02-28,8.65,92.00,26.21,6.80,38.23,141.74,Barback,Daisy's
2021-03-05,8.65,156.00,53.00,6.70,37.67,232.18,Barback,Daisy's
2021-03-06,8.65,279.00,59.45,9.00,50.60,369.59,Barback,Daisy's
2021-03-07,8.65,167.00,38.00,8.50,47.79,234.41,Barback,Daisy's
2021-03-13,8.65,65.00,17.05,5.10,28.67,99.70,Barback,Daisy's
2021-03-14,8.65,65.00,21.00,5.10,28.67,103.65,Barback,Daisy's
2021-03-19,8.65,166.00,49.27,6.60,37.11,238.11,Barback,Daisy's
2021-03-21,8.65,66.00,18.96,5.80,32.61,105.03,Barback,Daisy's
2021-03-26,8.65,66.00,20.00,4.40,24.74,101.22,Barback,Daisy's
2021-03-28,8.65,97.00,27.00,6.00,33.74,144.76,Barback,Daisy's
2021-04-02,8.65,138.00,30.00,8.60,48.35,197.76,Barback,Daisy's
2021-04-03,8.65,76.00,26.00,4.50,25.30,117.57,Barback,Daisy's
2021-04-09,8.65,92.00,13.00,4.70,26.43,121.26,Barback,Daisy's
2021-04-10,8.65,95.00,15.00,5.40,30.36,128.68,Barback,Daisy's
2021-04-11,8.65,63.00,18.85,5.50,30.92,100.88,Barback,Daisy's
2021-04-16,8.65,71.00,22.00,4.40,24.74,108.22,Barback,Daisy's
2021-04-17,8.65,221.00,43.61,9.30,52.29,296.79,Barback,Daisy's
2021-04-18,8.65,71.00,99.48,6.00,33.74,191.24,Barback,Daisy's
2021-04-23,9.35,120.00,35.00,8.00,48.62,184.92,Barback,Daisy's
2021-04-25,9.35,56.00,33.60,6.40,38.90,113.54,Barback,Daisy's
2021-04-30,9.35,108.00,17.50,7.70,46.80,154.30,Barback,Daisy's
2021-05-01,9.35,113.00,24.70,6.00,36.47,160.14,Barback,Daisy's
2021-05-02,9.35,52.00,27.51,6.70,40.72,104.57,Barback,Daisy's
2021-05-08,9.35,110.00,2.60,6.00,36.47,135.04,Barback,Daisy's
2021-05-09,9.35,65.00,11.00,4.00,24.31,90.96,Barback,Daisy's
2021-05-14,9.35,76.00,33.00,5.80,35.25,130.69,Barback,Daisy's
2021-05-15,9.35,129.00,16.15,5.40,32.82,165.35,Barback,Daisy's
2021-05-16,9.35,57.00,30.00,8.30,50.44,118.04,Barback,Daisy's
2021-05-22,9.35,137.00,56.00,9.60,58.34,228.90,Barback,Daisy's
2021-05-23,9.35,58.00,29.00,6.30,38.29,110.56,Barback,Daisy's
2021-05-27,9.35,147.00,84.00,6.60,40.11,255.68,Barback,Daisy's
2021-05-29,9.35,139.00,100.00,8.00,48.62,268.92,Barback,Daisy's
2021-06-04,9.35,142.00,73.00,9.00,54.70,248.66,Barback,Daisy's
2021-06-05,9.35,171.00,155.00,12.60,76.58,373.12,Barback,Daisy's
2021-06-11,9.35,138.00,103.00,9.70,58.95,277.28,Barback,Daisy's
2021-06-12,9.35,139.00,126.00,9.60,58.34,300.90,Barback,Daisy's
2021-06-13,9.35,46.00,10.70,5.70,34.64,78.02,Barback,Daisy's
2021-06-14,9.35,108.00,0.00,7.50,36.47,144.47,Barback,Dublin
2021-06-19,9.35,139.00,103.00,9.80,59.56,278.65,Barback,Daisy's
2021-06-22,9.35,201.00,0.00,6.00,29.17,230.17,Barback,Dublin
2021-06-26,9.35,198.00,114.00,12.80,77.79,359.87,Barback,Daisy's
2021-06-27,9.35,186.00,0.00,9.50,46.19,232.19,Barback,Dublin
2021-06-29,9.35,163.00,0.00,7.50,36.47,199.47,Barback,Dublin
2021-06-30,9.35,160.00,0.00,7.50,36.47,196.47,Barback,Dublin
2021-07-04,9.35,400.00,0.00,11.50,55.91,455.91,Barback,Dublin
2021-07-05,9.35,496.00,0.00,10.00,48.62,544.62,Barback,Dublin
2021-07-11,9.35,119.00,0.00,4.50,21.88,140.88,Barback,Dublin
2021-07-13,9.35,100.00,0.00,6.40,31.12,131.12,Barback,Dublin
2021-07-17,9.35,312.00,0.00,10.00,48.62,360.62,Barback,Dublin
2021-07-19,9.35,155.00,0.00,6.50,31.60,186.60,Barback,Dublin
2021-07-24,9.35,40.00,0.00,9.00,43.76,83.76,Barback,Dublin
2021-07-25,9.35,211.00,0.00,9.50,46.19,257.19,Barback,Dublin
2021-07-26,9.35,110.00,0.00,7.00,34.03,144.03,Barback,Dublin
2021-07-27,9.35,177.00,0.00,6.80,33.06,210.06,Barback,Dublin
2021-07-30,9.35,155.00,0.00,6.50,31.60,186.60,Barback,Dublin
2021-07-31,9.35,335.00,0.00,10.50,51.05,386.05,Barback,Dublin
2021-08-03,9.35,257.00,0.00,8.50,41.33,298.33,Barback,Dublin
2021-08-06,9.35,291.00,0.00,9.00,43.76,334.76,Barback,Dublin
2021-08-07,9.35,323.00,0.00,10.00,48.62,371.62,Barback,Dublin
2021-08-14,9.35,421.00,0.00,11.00,53.48,474.48,Barback,Dublin
2021-08-16,9.35,280.00,0.00,6.90,33.55,313.55,Barback,Dublin
2021-08-17,9.35,92.00,0.00,2.80,13.61,105.61,Barback,Dublin
2021-08-20,9.35,273.00,0.00,10.00,48.62,321.62,Barback,Dublin
2021-08-21,9.35,458.00,0.00,14.70,71.47,529.47,Barback,Dublin
