date,day_name,wage_pay,cash_tips,total_income
2024-12-25,Wednesday,5.54,1000.00,1005.54
2024-10-13,Sunday,66.78,256.00,322.78
2024-10-12,Saturday,162.48,598.00,760.48
2024-10-07,Monday,11.08,100.00,111.08
2024-10-06,Sunday,45.20,107.00,152.20
2024-10-05,Saturday,65.56,11.00,76.56
2024-10-04,Friday,30.46,40.00,70.46
2024-10-04,Friday,35.78,22.00,57.78
2024-09-30,Monday,11.08,100.00,111.08
2024-09-30,Monday,105.22,287.00,392.22
2024-09-27,Friday,104.66,357.00,461.66
2024-09-23,Monday,11.08,100.00,111.08
2024-09-22,Sunday,79.52,253.00,332.52
2024-09-21,Saturday,105.56,547.00,652.56
2024-09-20,Friday,115.42,632.00,747.42
2024-09-18,Wednesday,45.74,120.00,165.74
2024-09-16,Monday,13.30,100.00,113.30
2024-09-15,Sunday,40.64,54.00,94.64
2024-09-14,Saturday,50.62,71.00,121.62
2024-09-13,Friday,100.24,294.00,394.24
2024-09-12,Thursday,85.84,42.00,127.84
2024-09-11,Wednesday,49.50,168.00,217.50
2024-09-10,Tuesday,38.76,100.00,138.76
2024-09-09,Monday,31.24,120.00,151.24
2024-09-09,Monday,54.50,193.00,247.50
2024-09-07,Saturday,109.10,170.00,279.10
2024-09-06,Friday,96.58,240.00,336.58
2024-09-05,Thursday,84.74,17.00,101.74
2024-09-04,Wednesday,68.34,28.00,96.34
2024-09-03,Tuesday,22.16,100.00,122.16
2024-09-03,Tuesday,68.34,4.00,72.34
2024-09-02,Monday,104.34,348.00,452.34
2024-09-01,Sunday,157.84,620.00,777.84
2024-08-31,Saturday,121.06,238.00,359.06
2024-08-30,Friday,125.50,522.00,647.50
2024-08-29,Thursday,125.50,165.00,290.50
2024-08-28,Wednesday,58.92,196.00,254.92
2024-08-27,Tuesday,60.14,210.00,270.14
2024-08-26,Monday,28.46,100.00,128.46
2024-08-25,Sunday,56.26,184.00,240.26
2024-08-24,Saturday,152.84,494.00,646.84
2024-08-22,Thursday,130.36,155.00,285.36
2024-08-21,Wednesday,60.04,170.00,230.04
2024-08-20,Tuesday,54.50,63.00,117.50
2024-08-19,Monday,19.06,100.00,119.06
2024-08-17,Saturday,118.74,255.00,373.74
2024-08-16,Friday,78.42,394.00,472.42
2024-08-15,Thursday,133.68,316.00,449.68
2024-08-14,Wednesday,58.92,252.00,310.92
