Date,"Day of Week","Wage Pay","Credit Tips","Cash Tips","Total Income"
2021-02-06,Saturday,38.23,19.93,145.00,188.46
2021-02-19,Friday,38.23,41.34,135.00,199.87
2021-02-21,Sunday,28.11,23.60,93.00,133.90
2021-02-26,Friday,39.36,26.41,187.00,237.63
2021-02-28,Sunday,38.23,26.21,92.00,141.74
2021-03-05,Friday,37.67,53.00,156.00,232.18
2021-03-06,Saturday,50.60,59.45,279.00,369.59
2021-03-07,Sunday,47.79,38.00,167.00,234.41
2021-03-13,Saturday,28.67,17.05,65.00,99.70
2021-03-14,Sunday,28.67,21.00,65.00,103.65
2021-03-19,Friday,37.11,49.27,166.00,238.11
2021-03-21,Sunday,32.61,18.96,66.00,105.03
2021-03-26,Friday,24.74,20.00,66.00,101.22
2021-03-28,Sunday,33.74,27.00,97.00,144.76
2021-04-02,Friday,48.35,30.00,138.00,197.76
2021-04-03,Saturday,25.30,26.00,76.00,117.57
2021-04-09,Friday,26.43,13.00,92.00,121.26
2021-04-10,Saturday,30.36,15.00,95.00,128.68
2021-04-11,Sunday,30.92,18.85,63.00,100.88
2021-04-16,Friday,24.74,22.00,71.00,108.22
2021-04-17,Saturday,52.29,43.61,221.00,296.79
2021-04-18,Sunday,33.74,99.48,71.00,191.24
2021-04-23,Friday,48.62,35.00,120.00,184.92
2021-04-25,Sunday,38.90,33.60,56.00,113.54
2021-04-30,Friday,46.80,17.50,108.00,154.30
2021-05-01,Saturday,36.47,24.70,113.00,160.14
2021-05-02,Sunday,40.72,27.51,52.00,104.57
2021-05-08,Saturday,36.47,2.60,110.00,135.04
2021-05-09,Sunday,24.31,11.00,65.00,90.96
2021-05-14,Friday,35.25,33.00,76.00,130.69
2021-05-15,Saturday,32.82,16.15,129.00,165.35
2021-05-16,Sunday,50.44,30.00,57.00,118.04
2021-05-22,Saturday,58.34,56.00,137.00,228.90
2021-05-23,Sunday,38.29,29.00,58.00,110.56
2021-05-27,Thursday,40.11,84.00,147.00,255.68
2021-05-29,Saturday,48.62,100.00,139.00,268.92
2021-06-04,Friday,54.70,73.00,142.00,248.66
2021-06-05,Saturday,76.58,155.00,171.00,373.12
2021-06-11,Friday,58.95,103.00,138.00,277.28
2021-06-12,Saturday,58.34,126.00,139.00,300.90
2021-06-13,Sunday,34.64,10.70,46.00,78.02
2021-06-14,Monday,36.47,0.00,108.00,144.47
2021-06-19,Saturday,59.56,103.00,139.00,278.65
2021-06-22,Tuesday,29.17,0.00,201.00,230.17
2021-06-26,Saturday,77.79,114.00,198.00,359.87
2021-06-27,Sunday,46.19,0.00,186.00,232.19
2021-06-29,Tuesday,36.47,0.00,163.00,199.47
2021-06-30,Wednesday,36.47,0.00,160.00,196.47
2021-07-04,Sunday,55.91,0.00,400.00,455.91
2021-07-05,Monday,48.62,0.00,496.00,544.62
2021-07-11,Sunday,21.88,0.00,119.00,140.88
2021-07-13,Tuesday,31.12,0.00,100.00,131.12
2021-07-17,Saturday,48.62,0.00,312.00,360.62
2021-07-19,Monday,31.60,0.00,155.00,186.60
2021-07-24,Saturday,43.76,0.00,40.00,83.76
2021-07-25,Sunday,46.19,0.00,211.00,257.19
2021-07-26,Monday,34.03,0.00,110.00,144.03
2021-07-27,Tuesday,33.06,0.00,177.00,210.06
2021-07-30,Friday,31.60,0.00,155.00,186.60
2021-07-31,Saturday,51.05,0.00,335.00,386.05
2021-08-03,Tuesday,41.33,0.00,257.00,298.33
2021-08-06,Friday,43.76,0.00,291.00,334.76
2021-08-07,Saturday,48.62,0.00,323.00,371.62
2021-08-14,Saturday,53.48,0.00,421.00,474.48
2021-08-16,Monday,33.55,0.00,280.00,313.55
2021-08-17,Tuesday,13.61,0.00,92.00,105.61
2021-08-20,Friday,48.62,0.00,273.00,321.62
2021-08-21,Saturday,71.47,0.00,458.00,529.47
2021-08-27,Friday,43.76,0.00,208.00,251.76
2021-08-28,Saturday,51.05,0.00,235.00,286.05
2021-08-29,Sunday,19.45,0.00,231.00,250.45
2021-08-30,Monday,35.49,0.00,105.00,140.49
2021-09-03,Friday,70.50,0.00,368.00,438.50
2021-09-04,Saturday,48.62,0.00,191.00,239.62
2021-09-05,Sunday,57.37,0.00,265.00,322.37
2021-09-06,Monday,48.62,0.00,451.00,499.62
2021-09-11,Saturday,72.93,0.00,306.00,378.93
2021-09-12,Sunday,53.48,0.00,325.00,378.48
2021-09-17,Friday,36.47,0.00,154.00,190.47
2021-09-18,Saturday,41.33,0.00,283.00,324.33
2021-09-19,Sunday,48.62,0.00,169.00,217.62
2021-09-25,Saturday,42.79,0.00,676.00,718.79
2021-09-26,Sunday,36.47,0.00,438.00,474.47
2021-10-02,Saturday,51.05,0.00,479.00,530.05
2021-10-03,Sunday,29.17,0.00,128.00,157.17
2021-10-09,Saturday,43.76,0.00,244.00,287.76
2021-10-16,Saturday,33.06,0.00,130.00,163.06
2021-10-17,Sunday,19.45,0.00,12.00,31.45
2021-10-23,Saturday,26.74,0.00,48.00,74.74
2021-10-30,Saturday,34.03,0.00,514.00,548.03
2021-11-24,Wednesday,0.00,0.00,172.00,172.00
2022-04-30,Saturday,43.06,0.00,263.00,306.06
2022-05-01,Sunday,32.96,0.00,215.00,247.96
2022-05-05,Thursday,53.61,0.00,334.00,387.61
2022-05-11,Wednesday,30.76,0.00,67.00,97.76
2022-05-12,Thursday,51.41,0.00,274.00,325.41
2022-05-14,Saturday,54.05,0.00,286.00,340.05
2022-05-19,Thursday,51.85,0.00,235.00,286.85
2022-05-20,Friday,32.96,0.00,104.00,136.96
2022-05-22,Sunday,36.47,0.00,252.00,288.47
2022-05-27,Friday,26.80,0.00,51.00,77.80
2022-05-28,Saturday,57.12,0.00,470.00,527.12
2022-05-29,Sunday,57.12,0.00,553.00,610.12
2022-05-30,Monday,59.76,0.00,397.00,456.76
2022-06-02,Thursday,50.53,0.00,191.00,241.53
2022-06-03,Friday,47.46,0.00,270.00,317.46
2022-06-05,Sunday,34.27,0.00,303.00,337.27
2022-06-09,Thursday,50.53,0.00,457.00,507.53
2022-06-10,Friday,47.46,0.00,342.00,389.46
2022-06-11,Saturday,50.53,0.00,486.00,536.53
2022-06-16,Thursday,50.53,0.00,378.00,428.53
2022-06-17,Friday,50.53,0.00,368.00,418.53
2022-06-18,Saturday,59.32,0.00,375.00,434.32
2022-06-19,Sunday,37.35,0.00,272.00,309.35
2022-06-23,Thursday,56.24,0.00,464.00,520.24
2022-06-24,Friday,56.68,0.00,464.00,520.68
2022-06-25,Saturday,51.85,0.00,420.00,471.85
2022-06-30,Thursday,54.05,0.00,503.00,557.05
2022-07-02,Saturday,46.14,0.00,326.00,372.14
2022-07-03,Sunday,54.93,0.00,428.00,482.93
2022-07-04,Monday,41.74,0.00,275.00,316.74
2022-07-06,Wednesday,35.15,0.00,40.00,75.15
2022-07-07,Thursday,54.05,0.00,365.00,419.05
2022-07-09,Saturday,46.14,0.00,487.00,533.14
2022-07-13,Wednesday,41.74,0.00,156.00,197.74
2022-07-14,Thursday,54.05,0.00,354.00,408.05
2022-07-16,Saturday,54.93,0.00,337.00,391.93
2022-07-21,Thursday,51.85,0.00,314.00,365.85
2022-07-22,Friday,43.94,0.00,210.00,253.94
2022-07-28,Thursday,51.85,0.00,298.00,349.85
2022-07-29,Friday,43.06,0.00,216.00,259.06
2022-07-30,Saturday,47.46,0.00,308.00,355.46
2022-08-04,Thursday,50.53,0.00,371.00,421.53
2022-08-05,Friday,30.76,0.00,160.00,190.76
2022-08-06,Saturday,51.85,0.00,385.00,436.85
2022-08-07,Sunday,33.83,0.00,133.00,166.83
2022-08-11,Thursday,55.80,0.00,446.00,501.80
2022-08-12,Friday,43.94,0.00,315.00,358.94
